# Mapeo de 3.6.10.10 a 3.6.10.11.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
hdw	hdw	estructura			
hdx	hdx	estructura			
hdy	hdy	estructura			
hea	hea	estructura			
hed	hed	estructura			
heg	heg	estructura			
heh	heh	estructura			
hei	hei	estructura			
hek	hek	estructura			
hem	hem	estructura			
hen	hen	estructura			
heo	heo	estructura			
heq	heq	estructura			
her	her	estructura			
het	het	estructura			
hev	hev	estructura			
hex	hex	estructura			
hfa	hfa	estructura			
hfb	hfb	estructura			
hfd	hfd	estructura			
hfe	hfe	estructura			
hff	hff	estructura			
hfh	hfh	estructura			
hfi	hfi	estructura			
hfj	hfj	estructura			
hfl	hfl	estructura			
hfo	hfo	estructura			
hfp	hfp	estructura			
hfr	hfr	estructura			
hfs	hfs	estructura			
hft	hft	estructura			
hfv	hfv	estructura			
hfw	hfw	estructura			
hfx	hfx	estructura			
hfy	hfy	estructura			
hfz	hfz	estructura			
hga	hga	estructura			
hgb	hgb	estructura			
hgc	hgc	estructura			
hgg	hgg	estructura			
hgj	hgj	estructura			
hgm	hgm	estructura			
hgn	hgn	estructura			
hgp	hgp	estructura			
hgq	hgq	estructura			
hgr	hgr	estructura			
hgu	hgu	estructura			
hgv	hgv	estructura			
hgx	hgx	estructura			
hha	hha	estructura			
hhd	hhd	estructura			
hhf	hhf	estructura		Solo alcanzable desde isi, que nunca llega. 1 mensaje en 1 fichero.	sí
hhg	hhg	estructura			
hhh	hhh	estructura			sí
hhk	hhk	estructura		No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 4 mensajes.	
hhl	hhl	estructura			
hhn	hhn	estructura			
hhq	hhq	estructura			sí
hht	hht	estructura			
hhu	hhu	estructura			
hhv	hhv	estructura			
hhy	hhy	estructura	TitlesAndOrnamentsListMessage	Lo que la cuenta posee; el cliente ya tiene el catalogo entero y lo que no este en esta lista sale en gris. Se envia una vez al entrar al mundo. En el replay se sustituye por los de la cuenta que juega.	sí
hhz	hhz	estructura			
hic	hic	estructura			
hid	hid	estructura	TitleSelectedMessage	El titulo que se lleva ahora; vacio significa ninguno, no un cero dentro.	sí
hie	hie	estructura			sí
hif	hif	estructura	OrnamentSelectedMessage	El ornamento que se lleva ahora, con la misma regla.	sí
hig	hig	estructura			
hih	hih	estructura		No implementado. Exclusivo de las capturas de extras de apariencia; 2 mensajes.	
hii	hii	estructura			sí
hil	hil	estructura			
him	him	estructura		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 10 mensajes.	
hin	hin	estructura			
hio	hio	estructura			
hip	hip	estructura			
hiq	hiq	estructura			
hir	hir	estructura		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 10 mensajes.	
his	his	estructura			
hit	hit	estructura			
hiu	hiu	estructura			
hiv	hiv	estructura			
hiw	hiw	estructura			
hix	hix	estructura			
hiy	hiy	estructura			
hja	hja	estructura			
hjb	hjb	estructura			
hjc	hjc	estructura	TeleportRequestMessage	Destino elegido.	sí
hje	hje	estructura			
hjg	hjg	estructura			
hjh	hjh	estructura			
hjj	hjj	estructura	TeleportDestinationsMessage	La lista de destinos del zaap; f6 casa con MapPositions en las 25 entradas de la captura y el destino donde ya estas viaja sin f2, o sea coste cero.	sí
hjk	hjk	estructura		Viaja con jru en cada cambio de mapa.	sí
hjl	hjl	estructura			
hjp	hjp	estructura			
hjq	hjq	estructura			
hjr	hjr	estructura			
hjt	hjt	estructura			
hju	hju	estructura			
hjw	hjw	estructura			
hjx	hjx	estructura			
hjy	hjy	estructura			
hjz	hjz	estructura			
hkb	hkb	estructura			
hkc	hkc	estructura			
hkd	hkd	estructura			
hke	hke	estructura			
hkf	hkf	estructura			
hkh	hkh	estructura			
hki	hki	estructura			
hkl	hkl	estructura			
hkm	hkm	estructura			
hko	hko	estructura			
hkp	hkp	estructura			
hks	hks	estructura		No implementado. Exclusivo de las capturas de alianzas (Alianzas); 1 mensajes.	
hkt	hkt	estructura			
hkw	hkw	estructura			
hkx	hkx	estructura			
hla	hla	estructura			
hlb	hlb	estructura			
hlc	hlc	estructura			
hld	hld	estructura			
hle	hle	estructura			
hlh	hlh	estructura			
hli	hli	estructura			
hlm	hlm	estructura			
hln	hln	estructura			
hlp	hlp	estructura			
hlq	hlq	estructura			
hlr	hlr	estructura			
hls	hls	estructura			
hlv	hlv	estructura			
hlw	hlw	estructura			
hlx	hlx	estructura			
hly	hly	estructura			
hlz	hlz	estructura			
hma	hma	estructura			
hmb	hmb	estructura			
hmc	hmc	estructura			
hmd	hmd	estructura		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	sí
hme	hme	estructura			
hmh	hmh	estructura			
hmi	hmi	estructura			
hmj	hmj	estructura			sí
hmk	hmk	estructura			
hml	hml	estructura			sí
hmn	hmn	estructura			
hmo	hmo	estructura			
hmp	hmp	estructura			
hmq	hmq	estructura			
hms	hms	estructura	SpellListMessage	Los hechizos que tiene el personaje, cada uno al grado que abre su nivel.	sí
hmt	hmt	estructura	SpellVariantActivationRequestMessage	Cambiar un hechizo por su variante, desde el panel o desde la barra.	sí
hmw	hmw	estructura			
hmz	hmz	estructura			
hnc	hnc	estructura			
hnd	hnd	estructura			
hng	hng	estructura	SpellVariantActivationSuccessMessage	El hechizo nuevo y el grado que abre el nivel del personaje.	sí
hnh	hnh	estructura			
hnk	hnk	estructura		El builder no se llama nunca; la rama hmv usa un payload crudo y hmv nunca llega. 243 mensajes en 9 ficheros.	sí
hnn	hnn	estructura			sí
hnp	hnp	estructura			sí
hns	hns	estructura		No implementado. Exclusivo de las capturas de emotes; 2 mensajes.	
hnt	hnt	estructura			
hnu	hnu	estructura			
hnv	hnv	estructura			sí
hnw	hnw	estructura			
hnx	hnx	estructura			
hnz	hnz	estructura			
hob	hob	estructura			
hoc	hoc	estructura		No implementado. Exclusivo de las capturas de emotes; 7 mensajes.	
hod	hod	estructura			
hof	hof	estructura			
hoh	hoh	estructura			
hoj	hoj	estructura			
hol	hol	estructura		Conyuge y gremio de la cuenta grabada; se descarta. 4 mensajes.	sí
hom	hom	estructura			
hon	hon	estructura			
hop	hop	estructura			
hor	hor	estructura		No implementado. Exclusivo de las capturas de emotes; 2 mensajes.	
hos	hos	estructura			
hot	hot	estructura			
hou	hou	estructura		Sale en la entrada al mundo, encabezando el grupo de once ktq y un lru.	
hov	hov	estructura		No implementado. Exclusivo de las capturas de emotes; 19 mensajes.	
hox	hox	estructura			
hoy	hoy	estructura	HelloGameMessage	Saludo del servidor de juego; f5 se omite a proposito porque no aparece en ninguna de las tres capturas de arranque.	sí
hpb	hpb	estructura			
hpc	hpc	estructura			
hpd	hpd	estructura			sí
hpf	hpf	estructura			
hph	hph	estructura			
hpk	hpk	estructura			
hpl	hpl	estructura			
hpm	hpm	estructura		Nada establecido. 103 mensajes, 35 ficheros.	
hpn	hpn	estructura			
hpo	hpo	estructura			
hpp	hpp	estructura			
hpq	hpq	estructura			
hpr	hpr	estructura			
hps	hps	estructura			
hpt	hpt	estructura			
hpu	hpu	estructura		No implementado. Exclusivo de las capturas de combate (Combate, mas alla de los de 4.2); 6 mensajes.	
hpv	hpv	estructura			
hpy	hpy	estructura			
hpz	hpz	estructura			
hqa	hqa	estructura			sí
hqb	hqb	estructura			
hqc	hqc	estructura			
hql	hql	estructura			
hqm	hqm	estructura			
hqp	hqp	estructura			
hqq	hqq	estructura			
hqr	hqr	estructura			
hqs	hqs	estructura			
hqu	hqu	estructura			
hqv	hqv	estructura			
hqw	hqw	estructura			
hqx	hqx	estructura			
hra	hra	estructura			
hrc	hrc	estructura			
hrf	hrf	estructura			
hrh	hrh	estructura			
hrj	hrj	estructura			
hrl	hrl	estructura			
hro	hro	estructura			
hrq	hrq	estructura			
hrr	hrr	estructura			
hrt	hrt	estructura			
hru	hru	estructura			
hrx	hrx	estructura			
hrz	hrz	estructura			
hsa	hsa	estructura			
hsb	hsb	estructura			
hsc	hsc	estructura			
hse	hse	estructura			
hsh	hsh	estructura			
hsk	hsk	estructura			
hsm	hsm	estructura			
hsn	hsn	estructura			
hss	hss	estructura			
hsu	hsu	estructura			
hsv	hsv	estructura			
hsw	hsw	estructura			
hsy	hsy	estructura			
hsz	hsz	estructura			
hta	hta	estructura			
htd	htd	estructura			
htf	htf	estructura			
hti	hti	estructura			
htl	htl	estructura			
hto	hto	estructura			
htp	htp	estructura			
htr	htr	estructura			
htu	htu	estructura			
htw	htw	estructura			
hty	hty	estructura			
htz	htz	estructura			
hua	hua	estructura			
hub	hub	estructura			
huc	huc	estructura			
hue	hue	estructura			
huh	huh	estructura			
huk	huk	estructura			
hum	hum	estructura			
hun	hun	estructura			
hup	hup	estructura			
hur	hur	estructura			
hus	hus	estructura			
hut	hut	estructura			
huu	huu	estructura			
hux	hux	estructura			
huz	huz	estructura			
hvf	hvf	estructura			
hvi	hvi	estructura			
hvk	hvk	estructura			
hvn	hvn	estructura			
hvs	hvs	estructura			
hvt	hvt	estructura			
hvw	hvw	estructura			
hvx	hvx	estructura			
hwa	hwa	estructura			
hwb	hwb	estructura			
hwe	hwe	estructura			
hwf	hwf	estructura			
hwg	hwg	estructura			
hwh	hwh	estructura			
hwk	hwk	estructura			
hwl	hwl	estructura			
hwo	hwo	estructura			
hwp	hwp	estructura			
hwr	hwr	estructura			
hwu	hwu	estructura			
hwv	hwv	estructura			
hwx	hwx	estructura			
hwz	hwz	estructura			
hxb	hxb	estructura			
hxd	hxd	estructura			
hxe	hxe	estructura			
hxg	hxg	estructura			
hxi	hxi	estructura			
hxj	hxj	estructura			
hxk	hxk	estructura			
hxm	hxm	estructura			
hxp	hxp	estructura			
hxq	hxq	estructura			
hxr	hxr	estructura			
hxt	hxt	estructura			
hxu	hxu	estructura			
hxx	hxx	estructura			
hya	hya	estructura			
hyb	hyb	estructura			
hyc	hyc	estructura			
hyg	hyg	estructura			
hyj	hyj	estructura			
hyk	hyk	estructura			
hym	hym	estructura			
hyp	hyp	estructura			
hyr	hyr	estructura			
hys	hys	estructura			
hyt	hyt	estructura			
hyw	hyw	estructura			
hyx	hyx	estructura			
hyz	hyz	estructura			
hzb	hzb	estructura			
hzc	hzc	estructura			
hzd	hzd	estructura			
hzg	hzg	estructura			
hzh	hzh	estructura			
hzi	hzi	estructura			
hzj	hzj	estructura			
hzk	hzk	estructura			
hzn	hzn	estructura			
hzo	hzo	estructura			
hzp	hzp	estructura			
hzq	hzq	estructura			
hzr	hzr	estructura			
hzv	hzv	estructura			
hzw	hzw	estructura			
hzx	hzx	estructura			
hzy	hzy	estructura			
iaa	iaa	estructura			
iac	iac	estructura			
iaf	iaf	estructura			
iag	iag	estructura			
iai	iai	estructura			
iaj	iaj	estructura			
iak	iak	estructura			
iam	iam	estructura			
ian	ian	estructura			
iap	iap	estructura			
iaq	iaq	estructura			
ias	ias	estructura			
iau	iau	estructura			
iav	iav	estructura			
iay	iay	estructura			
iaz	iaz	estructura			
ibc	ibc	estructura			
ibf	ibf	estructura			
ibg	ibg	estructura			
ibh	ibh	estructura			
ibj	ibj	estructura			
ibk	ibk	estructura			
ibl	ibl	estructura			
ibo	ibo	estructura			sí
ibp	ibp	estructura			
ibr	ibr	estructura			
ibs	ibs	estructura			
ibv	ibv	estructura			
ibw	ibw	estructura			
ibz	ibz	estructura			
icc	icc	estructura			
ice	ice	estructura			
ich	ich	estructura			
icj	icj	estructura			
icl	icl	estructura			
icm	icm	estructura			
icn	icn	estructura			
icp	icp	estructura			
icq	icq	estructura			
icr	icr	estructura			
icu	icu	estructura			
icx	icx	estructura			
icz	icz	estructura			
ida	ida	estructura			
ide	ide	estructura			
idf	idf	estructura			sí
idi	idi	estructura			
idl	idl	estructura			
idm	idm	estructura			
ido	ido	estructura			
idp	idp	estructura			
idr	idr	estructura			
idt	idt	estructura			
idu	idu	estructura		La respuesta a ieo: cuatro seguidos en la entrada al mundo.	
idv	idv	estructura			
idw	idw	estructura		No implementado. Exclusivo de las capturas de extras de conexion; 16 mensajes.	
idz	idz	estructura		No implementado. Exclusivo de las capturas de extras de conexion; 21 mensajes.	
iea	iea	estructura			
ieb	ieb	estructura			
iec	iec	estructura			
ied	ied	estructura			
iee	iee	estructura			
ief	ief	estructura			
ieg	ieg	estructura		No implementado. Exclusivo de las capturas de extras de conexion; 12 mensajes.	
ieh	ieh	estructura			
iei	iei	estructura			
iej	iej	estructura		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 38 mensajes.	
iek	iek	estructura			
iel	iel	estructura			
ieo	ieo	estructura		Cuatro seguidos en la entrada al mundo; el servidor contesta cuatro idu.	
iep	iep	estructura			
ier	ier	estructura			
iev	iev	estructura			
iew	iew	estructura			
iex	iex	estructura			
iey	iey	estructura			
iez	iez	estructura			
ifa	ifa	estructura			
ifb	ifb	estructura			
ifd	ifd	estructura			
ife	ife	estructura		Alianzas, por nombre y tag; se descarta. 9 mensajes.	sí
ifg	ifg	estructura			
ifh	ifh	estructura			
ifi	ifi	estructura			
ifj	ifj	estructura			
ifl	ifl	estructura			
ifm	ifm	estructura			
ifn	ifn	estructura			
ifp	ifp	estructura			
ifr	ifr	estructura			
ifs	ifs	estructura			
ifu	ifu	estructura			
ifv	ifv	estructura			
ifw	ifw	estructura			
