# Mapeo de 3.6.9.9 a 3.6.10.10.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
hdw	hdw	estructura			
hdx	hdx	estructura			
hdy	hdy	estructura			
hea	hea	estructura			
hed	hed	estructura			
heg	heg	estructura			
heh	heh	estructura			
hei	hei	estructura			
hek	hek	estructura			
hem	hem	estructura			
hen	hen	estructura			
heo	heo	estructura			
heq	heq	estructura			
her	her	estructura			
het	het	estructura			
hev	hev	estructura			
hex	hex	estructura			
hfa	hfa	estructura			
hfb	hfb	estructura			
hfd	hfd	estructura			
hfe	hfe	estructura			
hff	hff	estructura			
hfh	hfh	estructura			
hfi	hfi	estructura			
hfj	hfj	estructura			
hfl	hfl	estructura			
hfo	hfo	estructura			
hfp	hfp	estructura			
hfr	hfr	estructura			
hfs	hfs	estructura			
hft	hft	estructura			
hfv	hfv	estructura			
hfw	hfw	estructura			
hfx	hfx	estructura			
hfy	hfy	estructura			
hfz	hfz	estructura			
hga	hga	estructura			
hgb	hgb	estructura			
hgc	hgc	estructura			
hgg	hgg	estructura			
hgj	hgj	estructura			
hgm	hgm	estructura			
hgn	hgn	estructura			
hgp	hgp	estructura			
hgq	hgq	estructura			
hgr	hgr	estructura			
hgu	hgu	estructura			
hgv	hgv	estructura			
hgx	hgx	estructura			
hha	hha	estructura			
hhd	hhd	estructura			
hhf	hhf	estructura			
hhg	hhg	estructura			
hhh	hhh	estructura			
hhk	hhk	estructura			
hhl	hhl	estructura			
hhn	hhn	estructura			
hhq	hhq	estructura			
hht	hht	estructura			
hhu	hhu	estructura			
hhv	hhv	estructura			
hhy	hhy	estructura			
hhz	hhz	estructura			
hic	hic	estructura			
hid	hid	estructura			
hie	hie	estructura			
hif	hif	estructura			
hig	hig	estructura			
hih	hih	estructura			
hii	hii	estructura			
hil	hil	estructura			
him	him	estructura			
hin	hin	estructura			
hio	hio	estructura			
hip	hip	estructura			
hiq	hiq	estructura			
hir	hir	estructura			
his	his	estructura			
hit	hit	estructura			
hiu	hiu	estructura			
hiv	hiv	estructura			
hiw	hiw	estructura			
hix	hix	estructura			
hiy	hiy	estructura			
hja	hja	estructura			
hjb	hjb	estructura			
hjc	hjc	estructura			
hje	hje	estructura			
hjg	hjg	estructura			
hjh	hjh	estructura			
hjj	hjj	estructura			
hjk	hjk	estructura			
hjl	hjl	estructura			
hjp	hjp	estructura			
hjq	hjq	estructura			
hjr	hjr	estructura			
hjt	hjt	estructura			
hju	hju	estructura			
hjw	hjw	estructura			
hjx	hjx	estructura			
hjy	hjy	estructura			
hjz	hjz	estructura			
hkb	hkb	estructura			
hkc	hkc	estructura			
hkd	hkd	estructura			
hke	hke	estructura			
hkf	hkf	estructura			
hkh	hkh	estructura			
hki	hki	estructura			
hkl	hkl	estructura			
hkm	hkm	estructura			
hko	hko	estructura			
hkp	hkp	estructura			
hks	hks	estructura			
hkt	hkt	estructura			
hkw	hkw	estructura			
hkx	hkx	estructura			
hla	hla	estructura			
hlb	hlb	estructura			
hlc	hlc	estructura			
hld	hld	estructura			
hle	hle	estructura			
hlh	hlh	estructura			
hli	hli	estructura			
hlm	hlm	estructura			
hln	hln	estructura			
hlp	hlp	estructura			
hlq	hlq	estructura			
hlr	hlr	estructura			
hls	hls	estructura			
hlv	hlv	estructura			
hlw	hlw	estructura			
hlx	hlx	estructura			
hly	hly	estructura			
hlz	hlz	estructura			
hma	hma	estructura			
hmb	hmb	estructura			
hmc	hmc	estructura			
hmd	hmd	estructura			
hme	hme	estructura			
hmh	hmh	estructura			
hmi	hmi	estructura			
hmj	hmj	estructura			
hmk	hmk	estructura			
hml	hml	estructura			
hmn	hmn	estructura			
hmo	hmo	estructura			
hmp	hmp	estructura			
hmq	hmq	estructura			
hms	hms	estructura			
hmt	hmt	estructura			
hmw	hmw	estructura			
hmz	hmz	estructura			
hnc	hnc	estructura			
hnd	hnd	estructura			
hng	hng	estructura			
hnh	hnh	estructura			
hnk	hnk	estructura			
hnn	hnn	estructura			
hnp	hnp	estructura			
hns	hns	estructura			
hnt	hnt	estructura			
hnu	hnu	estructura			
hnv	hnv	estructura			
hnw	hnw	estructura			
hnx	hnx	estructura			
hnz	hnz	estructura			
hob	hob	estructura			
hoc	hoc	estructura			
hod	hod	estructura			
hof	hof	estructura			
hoh	hoh	estructura			
hoj	hoj	estructura			
hol	hol	estructura			
hom	hom	estructura			
hon	hon	estructura			
hop	hop	estructura			
hor	hor	estructura			
hos	hos	estructura			
hot	hot	estructura			
hou	hou	estructura			
hov	hov	estructura			
hox	hox	estructura			
hoy	hoy	estructura			
hpb	hpb	estructura			
hpc	hpc	estructura			
hpd	hpd	estructura			
hpf	hpf	estructura			
hph	hph	estructura			
hpk	hpk	estructura			
hpl	hpl	estructura			
hpm	hpm	estructura			
hpn	hpn	estructura			
hpo	hpo	estructura			
hpp	hpp	estructura			
hpq	hpq	estructura			
hpr	hpr	estructura			
hps	hps	estructura			
hpt	hpt	estructura			
hpu	hpu	estructura			
hpv	hpv	estructura			
hpy	hpy	estructura			
hpz	hpz	estructura			
hqa	hqa	estructura			
hqb	hqb	estructura			
hqc	hqc	estructura			
hql	hql	estructura			
hqm	hqm	estructura			
hqp	hqp	estructura			
hqq	hqq	estructura			
hqr	hqr	estructura			
hqs	hqs	estructura			
hqu	hqu	estructura			
hqv	hqv	estructura			
hqw	hqw	estructura			
hqx	hqx	estructura			
hra	hra	estructura			
hrc	hrc	estructura			
hrf	hrf	estructura			
hrh	hrh	estructura			
hrj	hrj	estructura			
hrl	hrl	estructura			
hro	hro	estructura			
hrq	hrq	estructura			
hrr	hrr	estructura			
hrt	hrt	estructura			
hru	hru	estructura			
hrx	hrx	estructura			
hrz	hrz	estructura			
hsa	hsa	estructura			
hsb	hsb	estructura			
hsc	hsc	estructura			
hse	hse	estructura			
hsh	hsh	estructura			
hsk	hsk	estructura			
hsm	hsm	estructura			
hsn	hsn	estructura			
hss	hss	estructura			
hsu	hsu	estructura			
hsv	hsv	estructura			
hsw	hsw	estructura			
hsy	hsy	estructura			
hsz	hsz	estructura			
hta	hta	estructura			
htd	htd	estructura			
htf	htf	estructura			
hti	hti	estructura			
htl	htl	estructura			
hto	hto	estructura			
htp	htp	estructura			
htr	htr	estructura			
htu	htu	estructura			
htw	htw	estructura			
hty	hty	estructura			
htz	htz	estructura			
hua	hua	estructura			
hub	hub	estructura			
huc	huc	estructura			
hue	hue	estructura			
huh	huh	estructura			
huk	huk	estructura			
hum	hum	estructura			
hun	hun	estructura			
hup	hup	estructura			
hur	hur	estructura			
hus	hus	estructura			
hut	hut	estructura			
huu	huu	estructura			
hux	hux	estructura			
huz	huz	estructura			
hvf	hvf	estructura			
hvi	hvi	estructura			
hvk	hvk	estructura			
hvn	hvn	estructura			
hvs	hvs	estructura			
hvt	hvt	estructura			
hvw	hvw	estructura			
hvx	hvx	estructura			
hwa	hwa	estructura			
hwb	hwb	estructura			
hwe	hwe	estructura			
hwf	hwf	estructura			
hwg	hwg	estructura			
hwh	hwh	estructura			
hwk	hwk	estructura			
hwl	hwl	estructura			
hwo	hwo	estructura			
hwp	hwp	estructura			
hwr	hwr	estructura			
hwu	hwu	estructura			
hwv	hwv	estructura			
hwx	hwx	estructura			
hwz	hwz	estructura			
hxb	hxb	estructura			
hxd	hxd	estructura			
hxe	hxe	estructura			
hxg	hxg	estructura			
hxi	hxi	estructura			
hxj	hxj	estructura			
hxk	hxk	estructura			
hxm	hxm	estructura			
hxp	hxp	estructura			
hxq	hxq	estructura			
hxr	hxr	estructura			
hxt	hxt	estructura			
hxu	hxu	estructura			
hxx	hxx	estructura			
hya	hya	estructura			
hyb	hyb	estructura			
hyc	hyc	estructura			
hyg	hyg	estructura			
hyj	hyj	estructura			
hyk	hyk	estructura			
hym	hym	estructura			
hyp	hyp	estructura			
hyr	hyr	estructura			
hys	hys	estructura			
hyt	hyt	estructura			
hyw	hyw	estructura			
hyx	hyx	estructura			
hyz	hyz	estructura			
hzb	hzb	estructura			
hzc	hzc	estructura			
hzd	hzd	estructura			
hzg	hzg	estructura			
hzh	hzh	estructura			
hzi	hzi	estructura			
hzj	hzj	estructura			
hzk	hzk	estructura			
hzn	hzn	estructura			
hzo	hzo	estructura			
hzp	hzp	estructura			
hzq	hzq	estructura			
hzr	hzr	estructura			
hzv	hzv	estructura			
hzw	hzw	estructura			
hzx	hzx	estructura			
hzy	hzy	estructura			
iaa	iaa	estructura			
iac	iac	estructura			
iaf	iaf	estructura			
iag	iag	estructura			
iai	iai	estructura			
iaj	iaj	estructura			
iak	iak	estructura			
iam	iam	estructura			
ian	ian	estructura			
iap	iap	estructura			
iaq	iaq	estructura			
ias	ias	estructura			
iau	iau	estructura			
iav	iav	estructura			
iay	iay	estructura			
iaz	iaz	estructura			
ibc	ibc	estructura			
ibf	ibf	estructura			
ibg	ibg	estructura			
ibh	ibh	estructura			
ibj	ibj	estructura			
ibk	ibk	estructura			
ibl	ibl	estructura			
ibo	ibo	estructura			
ibp	ibp	estructura			
ibr	ibr	estructura			
ibs	ibs	estructura			
ibv	ibv	estructura			
ibw	ibw	estructura			
ibz	ibz	estructura			
icc	icc	estructura			
ice	ice	estructura			
ich	ich	estructura			
icj	icj	estructura			
icl	icl	estructura			
icm	icm	estructura			
icn	icn	estructura			
icp	icp	estructura			
icq	icq	estructura			
icr	icr	estructura			
icu	icu	estructura			
icx	icx	estructura			
icz	icz	estructura			
ida	ida	estructura			
ide	ide	estructura			
idf	idf	estructura			
idi	idi	estructura			
idl	idl	estructura			
idm	idm	estructura			
ido	ido	estructura			
idp	idp	estructura			
idr	idr	estructura			
idt	idt	estructura			
idu	idu	estructura			
idv	idv	estructura			
idw	idw	estructura			
idz	idz	estructura			
iea	iea	estructura			
ieb	ieb	estructura			
iec	iec	estructura			
ied	ied	estructura			
iee	iee	estructura			
ief	ief	estructura			
ieg	ieg	estructura			
ieh	ieh	estructura			
iei	iei	estructura			
iej	iej	estructura			
iek	iek	estructura			
iel	iel	estructura			
ieo	ieo	estructura			
iep	iep	estructura			
ier	ier	estructura			
iev	iev	estructura			
iew	iew	estructura			
iex	iex	estructura			
iey	iey	estructura			
iez	iez	estructura			
ifa	ifa	estructura			
ifb	ifb	estructura			
ifd	ifd	estructura			
ife	ife	estructura			
ifg	ifg	estructura			
ifh	ifh	estructura			
ifi	ifi	estructura			
ifj	ifj	estructura			
ifl	ifl	estructura			
ifm	ifm	estructura			
ifn	ifn	estructura			
ifp	ifp	estructura			
ifr	ifr	estructura			
ifs	ifs	estructura			
ifu	ifu	estructura			
ifv	ifv	estructura			
ifw	ifw	estructura			
ify	ify	estructura			
ifz	ifz	estructura			
igc	igc	estructura			
igf	igf	estructura			
igi	igi	estructura			
igk	igk	estructura			
igl	igl	estructura			
ign	ign	estructura			
igo	igo	estructura			
igp	igp	estructura			
igs	igs	estructura			
igv	igv	estructura			
igy	igy	estructura			
igz	igz	estructura			
iha	iha	estructura			
ihb	ihb	estructura			
ihc	ihc	estructura			
ihf	ihf	estructura			
ihg	ihg	estructura			
ihh	ihh	estructura			
ihi	ihi	estructura			
ihm	ihm	estructura			
iho	iho	estructura			
ihq	ihq	estructura			
ihr	ihr	estructura			
ihs	ihs	estructura			
iht	iht	estructura			
ihu	ihu	estructura			
ihv	ihv	estructura			
ihw	ihw	estructura			
ihz	ihz	estructura			
iia	iia	estructura			
iic	iic	estructura			
iid	iid	estructura			
iie	iie	estructura			
iif	iif	estructura			
iih	iih	estructura			
iij	iij	estructura			
iil	iil	estructura			
iim	iim	estructura			
iin	iin	estructura			
iio	iio	estructura			
iir	iir	estructura			
iis	iis	estructura			
iiv	iiv	estructura			
iix	iix	estructura			
iiy	iiy	estructura			
iiz	iiz	estructura			
ija	ija	estructura			
ijd	ijd	estructura			
ijf	ijf	estructura			
ijg	ijg	estructura			
ijj	ijj	estructura			
ijk	ijk	estructura			
ijl	ijl	estructura			
ijm	ijm	estructura			
ijn	ijn	estructura			
ijq	ijq	estructura			
ijt	ijt	estructura			
ijx	ijx	estructura			
ijy	ijy	estructura			
ijz	ijz	estructura			
ika	ika	estructura			
ikb	ikb	estructura			
ike	ike	estructura			
ikf	ikf	estructura			
iki	iki	estructura			
ikj	ikj	estructura			
ikm	ikm	estructura			
ikn	ikn	estructura			
iko	iko	estructura			
ikr	ikr	estructura			
iks	iks	estructura			
ikt	ikt	estructura			
iku	iku	estructura			
ikv	ikv	estructura			
ikw	ikw	estructura			
ikx	ikx	estructura			
iky	iky	estructura			
ila	ila	estructura			
ilb	ilb	estructura			
ilc	ilc	estructura			
ild	ild	estructura			
ilf	ilf	estructura			
ilg	ilg	estructura			
ilh	ilh	estructura			
ili	ili	estructura			
ilj	ilj	estructura			
iln	iln	estructura			
ilo	ilo	estructura			
ilr	ilr	estructura			
ils	ils	estructura			
ilv	ilv	estructura			
ilw	ilw	estructura			
ilx	ilx	estructura			
ima	ima	estructura			
imd	imd	estructura			
ime	ime	estructura			
imf	imf	estructura			
imh	imh	estructura			
imi	imi	estructura			
imj	imj	estructura			
imk	imk	estructura			
imn	imn	estructura			
imo	imo	estructura			
imp	imp	estructura			
imq	imq	estructura			
imr	imr	estructura			
imu	imu	estructura			
imv	imv	estructura			
imy	imy	estructura			
inb	inb	estructura			
inc	inc	estructura			
ind	ind	estructura			
ine	ine	estructura			
