# Mapeo de 3.6.10.10 a 3.6.8.8.
#
# origen: estructura = lo resolvió el emparejador y no se equivoca;
#         modelo     = había varios candidatos con la misma forma y eligió un LLM;
#         duda       = hay candidatos y nadie ha elegido. NO usar sin mirarlo.
#         retirado   = ni un solo candidato: o es nuevo, o ya no está.
#
# viejo	nuevo	origen	nombre	qué hace	lo usa el emulador
hdw	hdz	estructura			
hea		duda			
hed		duda			
hei		duda			
hek		duda			
hem		duda			
hen		duda			
her		duda			
hfb		duda			
hfd		duda			
hfe	mdu	estructura			
hff		duda			
hfh		duda			
hfi		duda			
hfj		duda			
hfp		duda			
hfr		duda			
hfs		duda			
hfv		duda			
hfw		duda			
hfx		duda			
hfy		duda			
hfz		duda			
hga		duda			
hgb	lmd	estructura			
hgc	mdp	estructura			
hgg		duda			
hgj		duda			
hgm		duda			
hgn		duda			
hgp		duda			
hgq		duda			
hgr		duda			
hgu		duda			
hgv		duda			
hgx		duda			
hha		duda			
hhd		duda			
hhg		duda			
hhh		duda			sí
hhk		duda		No implementado. Exclusivo de las capturas de interactivos varios (Interactivos varios); 4 mensajes.	
hhn		duda			
hhq	hnp	estructura			sí
hhu		duda			
hhv		duda			
hhy		duda	TitlesAndOrnamentsListMessage	Lo que la cuenta posee; el cliente ya tiene el catalogo entero y lo que no este en esta lista sale en gris. Se envia una vez al entrar al mundo. En el replay se sustituye por los de la cuenta que juega.	sí
hhz		duda			
hic		duda			
hid		duda	TitleSelectedMessage	El titulo que se lleva ahora; vacio significa ninguno, no un cero dentro.	sí
hie		duda			sí
hif		duda	OrnamentSelectedMessage	El ornamento que se lleva ahora, con la misma regla.	sí
hig		duda			
hih		duda		No implementado. Exclusivo de las capturas de extras de apariencia; 2 mensajes.	
hii		duda			sí
him		duda		No implementado. Exclusivo de las capturas de extras de movimiento (Movimiento); 10 mensajes.	
hin		duda			
hio		duda			
hip		duda			
hiq		duda			
hit		duda			
hiv		duda			
hix		duda			
hja	jpd	estructura			
hjb		duda			
hjc	hjx	estructura	TeleportRequestMessage	Destino elegido.	sí
hje		duda			
hjh		duda			
hjk		duda		Viaja con jru en cada cambio de mapa.	sí
hjl		duda			
hjq		duda			
hjt	mcy	estructura			
hju	jtr	estructura			
hjx		duda			
hjy		duda			
hjz		duda			
hkb		duda			
hkc		duda			
hkd	hki	estructura			
hke		duda			
hkl		duda			
hkp		duda			
hks	hwg	estructura		No implementado. Exclusivo de las capturas de alianzas (Alianzas); 1 mensajes.	
hkt		duda			
hkx		duda			
hla		duda			
hlb		duda			
hlc		duda			
hld	lwp	estructura			
hle		duda			
hli		duda			
hlm		duda			
hln		duda			
hlp		duda			
hlr		duda			
hls		duda			
hlv	jfn	estructura			
hlw		duda			
hlx		duda			
hma		duda			
hmb		duda			
hmc		duda			
hmd		duda		Parte de la rafaga de inicializacion de 3.6.4.3 que dispara kkn. No aparece en ninguna de las 242 capturas.	sí
hme		duda			
hmh	hml	estructura			
hmi		duda			
hmj		duda			sí
hmk		duda			
hml		duda			sí
hmo		duda			
hmp		duda			
hmq		duda			
hmt		duda	SpellVariantActivationRequestMessage	Cambiar un hechizo por su variante, desde el panel o desde la barra.	sí
hnc		duda			
hnd		duda			
hng		duda	SpellVariantActivationSuccessMessage	El hechizo nuevo y el grado que abre el nivel del personaje.	sí
hnh		duda			
hnn		duda			sí
hnp		duda			sí
hnt		duda			
hnu		duda			
hnv		duda			sí
hnw		duda			
hnz	jyw	estructura			
hoc	jni	estructura		No implementado. Exclusivo de las capturas de emotes; 7 mensajes.	
hoh		duda			
hom		duda			
hos		duda			
hot		duda			
hou		duda		Sale en la entrada al mundo, encabezando el grupo de once ktq y un lru.	
hov		duda		No implementado. Exclusivo de las capturas de emotes; 19 mensajes.	
hox		duda			
hpb		duda			
hpd		duda			sí
hpf		duda			
hph	jwq	estructura			
hpl		duda			
hpm		duda		Nada establecido. 103 mensajes, 35 ficheros.	
hpo		duda			
hpq		duda			
hpr		duda			
hps		duda			
hpu		duda		No implementado. Exclusivo de las capturas de combate (Combate, mas alla de los de 4.2); 6 mensajes.	
hpy		duda			
hpz		duda			
hqa		duda			sí
hqc		duda			
hqm		duda			
hqp		duda			
hqq		duda			
hqs		duda			
hqv		duda			
hqw		duda			
hqx		duda			
hra		duda			
hrf	hqz	estructura			
hrh	hrb	estructura			
hrj		duda			
hrl		duda			
hro		duda			
hrr	lgv	estructura			
hrz		duda			
hsb		duda			
hsc		duda			
hsh		duda			
hsk		duda			
hsm		duda			
hsu		duda			
hsv		duda			
hsz		duda			
htd	hsf	estructura			
htf		duda			
hto	lbz	estructura			
htp	hre	estructura			
htu	ist	estructura			
htw		duda			
htz	huh	estructura			
hua		duda			
hub	hsj	estructura			
huc		duda			
hue		duda			
hum		duda			
hun		duda			
hus	hsk	estructura			
hut		duda			
huu		duda			
huz		duda			
hvk		duda			
hvs		duda			
hvt		duda			
hvw	hvw	estructura			
hvx		duda			
hwa	jox	estructura			
hwb		duda			
hwe		duda			
hwf		duda			
hwg		duda			
hwh		duda			
hwk		duda			
hwv		duda			
hwz		duda			
hxd		duda			
hxe	izl	estructura			
hxg		duda			
hxj		duda			
hxp		duda			
hxq		duda			
hxr		duda			
hxu		duda			
hxx		duda			
hyc		duda			
hyk	idt	estructura			
hym		duda			
hyr		duda			
hyt		duda			
hzb		duda			
hzc		duda			
hzd		duda			
hzg	hxf	estructura			
hzh		duda			
hzi		duda			
hzj	jlb	estructura			
hzk		duda			
hzn	hzn	estructura			
hzp		duda			
hzq		duda			
hzv		duda			
hzx		duda			
hzy		duda			
iaf		duda			
iag		duda			
iaj		duda			
iam		duda			
ian	igb	estructura			
iap		duda			
iaq		duda			
ias		duda			
iau	iwb	estructura			
iav		duda			
iay		duda			
iaz		duda			
ibc		duda			
ibf		duda			
ibj	ikj	estructura			
ibk	hxl	estructura			
ibl		duda			
ibp		duda			
ibr		duda			
ibs		duda			
ibw		duda			
ibz		duda			
ice		duda			
ich		duda			
icj		duda			
icm		duda			
icn		duda			
icp		duda			
icq		duda			
icr		duda			
icu		duda			
icx		duda			
icz		duda			
ide		duda			
idf		duda			sí
idi		duda			
idl		duda			
idm		duda			
ido		duda			
idp		duda			
idt		duda			
